"year","zone","indicator","measure","value"
"2008","S01001790","Number In 5 Year Cohort","Count",4
"2009","S01001790","Number In 5 Year Cohort","Count",5
"2010","S01001790","Number In 5 Year Cohort","Count",6
"2011","S01001790","Number In 5 Year Cohort","Count",5
"2012","S01001790","Number In 5 Year Cohort","Count",8
"2013","S01001790","Number In 5 Year Cohort","Count",7
"2013","S01001790","Number Vaccinated Against MMR By 5 Years","Count",7
"2008","S01001790","Number Vaccinated Against MMR By 5 Years","Count",4
"2011","S01001790","Number Vaccinated Against MMR By 5 Years","Count",5
"2012","S01001790","Number Vaccinated Against MMR By 5 Years","Count",8
"2009","S01001790","Number Vaccinated Against MMR By 5 Years","Count",5
"2010","S01001790","Number Vaccinated Against MMR By 5 Years","Count",6
"2012","S01001790","Percentage Vaccinated Against Mmr By 5 Years","Ratio",100
"2010","S01001790","Percentage Vaccinated Against Mmr By 5 Years","Ratio",100
"2013","S01001790","Percentage Vaccinated Against Mmr By 5 Years","Ratio",100
"2011","S01001790","Percentage Vaccinated Against Mmr By 5 Years","Ratio",100
"2008","S01001790","Percentage Vaccinated Against Mmr By 5 Years","Ratio",100
"2009","S01001790","Percentage Vaccinated Against Mmr By 5 Years","Ratio",100
"2008","S01001791","Number In 5 Year Cohort","Count",9
"2009","S01001791","Number In 5 Year Cohort","Count",9
"2010","S01001791","Number In 5 Year Cohort","Count",9
"2011","S01001791","Number In 5 Year Cohort","Count",5
"2012","S01001791","Number In 5 Year Cohort","Count",7
"2013","S01001791","Number In 5 Year Cohort","Count",5
"2013","S01001791","Number Vaccinated Against MMR By 5 Years","Count",5
"2008","S01001791","Number Vaccinated Against MMR By 5 Years","Count",9
"2011","S01001791","Number Vaccinated Against MMR By 5 Years","Count",5
"2012","S01001791","Number Vaccinated Against MMR By 5 Years","Count",7
"2009","S01001791","Number Vaccinated Against MMR By 5 Years","Count",9
"2010","S01001791","Number Vaccinated Against MMR By 5 Years","Count",9
"2012","S01001791","Percentage Vaccinated Against Mmr By 5 Years","Ratio",100
"2010","S01001791","Percentage Vaccinated Against Mmr By 5 Years","Ratio",100
"2013","S01001791","Percentage Vaccinated Against Mmr By 5 Years","Ratio",100
"2011","S01001791","Percentage Vaccinated Against Mmr By 5 Years","Ratio",100
"2008","S01001791","Percentage Vaccinated Against Mmr By 5 Years","Ratio",100
"2009","S01001791","Percentage Vaccinated Against Mmr By 5 Years","Ratio",100
"2008","S01001792","Number In 5 Year Cohort","Count",4
"2009","S01001792","Number In 5 Year Cohort","Count",3
"2010","S01001792","Number In 5 Year Cohort","Count",10
"2011","S01001792","Number In 5 Year Cohort","Count",9
"2012","S01001792","Number In 5 Year Cohort","Count",8
"2013","S01001792","Number In 5 Year Cohort","Count",14
"2013","S01001792","Number Vaccinated Against MMR By 5 Years","Count",14
"2008","S01001792","Number Vaccinated Against MMR By 5 Years","Count",3
"2011","S01001792","Number Vaccinated Against MMR By 5 Years","Count",9
"2012","S01001792","Number Vaccinated Against MMR By 5 Years","Count",8
"2009","S01001792","Number Vaccinated Against MMR By 5 Years","Count",3
"2010","S01001792","Number Vaccinated Against MMR By 5 Years","Count",9
"2012","S01001792","Percentage Vaccinated Against Mmr By 5 Years","Ratio",100
"2010","S01001792","Percentage Vaccinated Against Mmr By 5 Years","Ratio",90
"2013","S01001792","Percentage Vaccinated Against Mmr By 5 Years","Ratio",100
"2011","S01001792","Percentage Vaccinated Against Mmr By 5 Years","Ratio",100
"2008","S01001792","Percentage Vaccinated Against Mmr By 5 Years","Ratio",75
"2009","S01001792","Percentage Vaccinated Against Mmr By 5 Years","Ratio",100
"2008","S01001793","Number In 5 Year Cohort","Count",9
"2009","S01001793","Number In 5 Year Cohort","Count",13
"2010","S01001793","Number In 5 Year Cohort","Count",15
"2011","S01001793","Number In 5 Year Cohort","Count",14
"2012","S01001793","Number In 5 Year Cohort","Count",11
"2013","S01001793","Number In 5 Year Cohort","Count",11
"2013","S01001793","Number Vaccinated Against MMR By 5 Years","Count",11
"2008","S01001793","Number Vaccinated Against MMR By 5 Years","Count",9
"2011","S01001793","Number Vaccinated Against MMR By 5 Years","Count",14
"2012","S01001793","Number Vaccinated Against MMR By 5 Years","Count",11
"2009","S01001793","Number Vaccinated Against MMR By 5 Years","Count",13
"2010","S01001793","Number Vaccinated Against MMR By 5 Years","Count",14
"2012","S01001793","Percentage Vaccinated Against Mmr By 5 Years","Ratio",100
"2010","S01001793","Percentage Vaccinated Against Mmr By 5 Years","Ratio","93.3"
"2013","S01001793","Percentage Vaccinated Against Mmr By 5 Years","Ratio",100
"2011","S01001793","Percentage Vaccinated Against Mmr By 5 Years","Ratio",100
"2008","S01001793","Percentage Vaccinated Against Mmr By 5 Years","Ratio",100
"2009","S01001793","Percentage Vaccinated Against Mmr By 5 Years","Ratio",100
"2008","S01001794","Number In 5 Year Cohort","Count",16
"2009","S01001794","Number In 5 Year Cohort","Count",16
"2010","S01001794","Number In 5 Year Cohort","Count",18
"2011","S01001794","Number In 5 Year Cohort","Count",15
"2012","S01001794","Number In 5 Year Cohort","Count",12
"2013","S01001794","Number In 5 Year Cohort","Count",11
"2013","S01001794","Number Vaccinated Against MMR By 5 Years","Count",10
"2008","S01001794","Number Vaccinated Against MMR By 5 Years","Count",15
"2011","S01001794","Number Vaccinated Against MMR By 5 Years","Count",14
"2012","S01001794","Number Vaccinated Against MMR By 5 Years","Count",12
"2009","S01001794","Number Vaccinated Against MMR By 5 Years","Count",16
"2010","S01001794","Number Vaccinated Against MMR By 5 Years","Count",18
"2012","S01001794","Percentage Vaccinated Against Mmr By 5 Years","Ratio",100
"2010","S01001794","Percentage Vaccinated Against Mmr By 5 Years","Ratio",100
"2013","S01001794","Percentage Vaccinated Against Mmr By 5 Years","Ratio","90.9"
"2011","S01001794","Percentage Vaccinated Against Mmr By 5 Years","Ratio","93.3"
"2008","S01001794","Percentage Vaccinated Against Mmr By 5 Years","Ratio","93.8"
"2009","S01001794","Percentage Vaccinated Against Mmr By 5 Years","Ratio",100
"2008","S01001795","Number In 5 Year Cohort","Count",3
"2009","S01001795","Number In 5 Year Cohort","Count",3
"2010","S01001795","Number In 5 Year Cohort","Count",9
"2011","S01001795","Number In 5 Year Cohort","Count",4
"2012","S01001795","Number In 5 Year Cohort","Count",5
"2013","S01001795","Number In 5 Year Cohort","Count",8
"2013","S01001795","Number Vaccinated Against MMR By 5 Years","Count",7
"2008","S01001795","Number Vaccinated Against MMR By 5 Years","Count",3
"2011","S01001795","Number Vaccinated Against MMR By 5 Years","Count",4
"2012","S01001795","Number Vaccinated Against MMR By 5 Years","Count",5
